property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id,value_min,value_max
Copper (Cu) - total,Total_xrd,%,0,100
Copper (Cu) - total,Total_xrf,%,0,100
Copper (Cu) - total,Total_xrf-p,%,0,100
Copper (Cu) - total,Total_xtf-t,%,0,100
effectiveCecProperty,EffCEC_calcul-b,cmol/kg,0,100
effectiveCecProperty,EffCEC_calcul-ba,cmol/kg,0,100
electricalConductivityProperty,ECe_sat,dS/m,0,60
electricalConductivityProperty,EC_ratio1-1,dS/m,0,60
electricalConductivityProperty,EC_ratio1-10,dS/m,0,60
electricalConductivityProperty,EC_ratio1-2,dS/m,0,60
electricalConductivityProperty,EC_ratio1-2.5,dS/m,0,60
electricalConductivityProperty,EC_ratio1-5,dS/m,0,60
gypsumProperty,CaSO4_gy01,%,0,100
gypsumProperty,CaSO4_gy02,%,0,100
gypsumProperty,CaSO4_gy03,%,0,100
gypsumProperty,CaSO4_gy04,%,0,100
gypsumProperty,CaSO4_gy05,%,0,100
gypsumProperty,CaSO4_gy06,%,0,100
gypsumProperty,CaSO4_gy07,%,0,100
hydraulicConductivityProperty,Ksat_bhole,cm/h,0,100
hydraulicConductivityProperty,KSat_calcul-ptf,cm/h,0,100
hydraulicConductivityProperty,KSat_calcul-ptf-genuchten,cm/h,0,100
hydraulicConductivityProperty,KSat_calcul-ptf-saxton,cm/h,0,100
hydraulicConductivityProperty,Ksat_column,cm/h,0,100
hydraulicConductivityProperty,Ksat_dblring,cm/h,0,100
hydraulicConductivityProperty,Ksat_invbhole,cm/h,0,100
Hydrogen (H+) - exchangeable,ExchBases_ph0-cohex,cmol/kg,0,100
Hydrogen (H+) - exchangeable,ExchBases_ph0-nh4cl,cmol/kg,0,100
Hydrogen (H+) - exchangeable,ExchBases_ph7-nh4oac,cmol/kg,0,100
Hydrogen (H+) - exchangeable,ExchBases_ph7-nh4oac-aas,cmol/kg,0,100
Hydrogen (H+) - exchangeable,ExchBases_ph7-nh4oac-fp,cmol/kg,0,100
Hydrogen (H+) - exchangeable,ExchBases_ph7-unkn,cmol/kg,0,100
Hydrogen (H+) - exchangeable,ExchBases_ph8-bacl2tea,cmol/kg,0,100
Hydrogen (H+) - exchangeable,ExchBases_ph8-unkn,cmol/kg,0,100
Hydrogen (H+) - exchangeable,ExchBases_ph-unkn-edta,cmol/kg,0,100
Hydrogen (H+) - exchangeable,ExchBases_ph-unkn-m3,cmol/kg,0,100
Hydrogen (H+) - exchangeable,ExchBases_ph-unkn-m3-spec,cmol/kg,0,100
Iron (Fe) - extractable,Extr_ap14,%,0,100
Iron (Fe) - extractable,Extr_ap15,%,0,100
Iron (Fe) - extractable,Extr_ap20,%,0,100
Iron (Fe) - extractable,Extr_ap21,%,0,100
Iron (Fe) - extractable,Extr_c6h8o7-reeuwijk,%,0,100
Iron (Fe) - extractable,Extr_cacl2,%,0,100
Iron (Fe) - extractable,Extr_capo4,%,0,100
Iron (Fe) - extractable,Extr_dtpa,%,0,100
Iron (Fe) - extractable,Extr_edta,%,0,100
Iron (Fe) - extractable,Extr_h2so4-truog,%,0,100
Iron (Fe) - extractable,Extr_hcl-h2so4-nelson,%,0,100
Iron (Fe) - extractable,Extr_hcl-nh4f-bray1,%,0,100
Iron (Fe) - extractable,Extr_hcl-nh4f-bray2,%,0,100
Iron (Fe) - extractable,Extr_hcl-nh4f-kurtz-bray,%,0,100
Iron (Fe) - extractable,Extr_hno3,%,0,100
Iron (Fe) - extractable,Extr_hotwater,%,0,100
Iron (Fe) - extractable,Extr_m1,%,0,100
Iron (Fe) - extractable,Extr_m2,%,0,100
Iron (Fe) - extractable,Extr_m3,%,0,100
Iron (Fe) - extractable,Extr_m3-spec,%,0,100
Iron (Fe) - extractable,Extr_nahco3-olsen,%,0,100
Iron (Fe) - extractable,Extr_nahco3-olsen-dabin,%,0,100
Iron (Fe) - extractable,Extr_naoac-morgan,%,0,100
Iron (Fe) - extractable,Extr_nh4ch3ch-oh-cooh-leuven,%,0,100
Iron (Fe) - extractable,Extr_nh4-co3-2-ambic1,%,0,100
Iron (Fe) - total,Total_h2so4,%,0,100
Iron (Fe) - total,Total_hcl,%,0,100
